title1,title2,similarity
써니 : Sunny NEOIN CORP,써니 : Sunny,0
써니 : Sunny NEOIN CORP,써니,0
SweetBeauty,Sweet Beauty,0
SweetBeauty,스위트뷰티,0
AMULETO,아무렛드 : AMOURETTE,0
GIREY NAMI,Nami,0
GIREY NAMI,라미,0
GIREY NAMI,LAMY,0
해적 : HAEZUK,해적 : HAEJUK,0
건목차(건목차) 음양오행 체질분석,음양오행,0
임펙트 : IMPACT,IMPACT CT,0
라미르 : LaMir,La Mer,0
CMC건설사업관리,CMC스터디닥터스쿨,0
SHELLTIDE,SHELL,0
다빈치파이어 For KAKAO,다빈치체험과학교실 : DAVINCI'S SCIENCE AND CRAFT SCHOOL,0
선단 돌솥설렁탕 : S,선단 선단,0
참 스프 앤 스탁,soup stock,0
CORESENSE,CORECESS,0
잉카 : INCA,잉카바베큐치킨,0
고래섬,고래성 : GORAESUNG,0
미초 드림 : DREAM,미드림,0
모내기,MONEIGE,0
블랙홀 : BLACK HOLE,블랙홀,0
아나핀 : ANAPIN,아나펜,0
금강마이크로,주식회사금강 : KEUMKANG LIMITED,0
금강마이크로,금강화이바보드,0
금강마이크로,금강고려화학,0
통큰세제,통큰,0
통큰세제,롯데마트 통큰,0
통큰세제,통큰,0
퀀텀 솔루션스,이종두 양자에너지 : Quantum Energy Jong Doo Lee,0
퀀텀 솔루션스,양자에너지 : Quantum Energy,0
금강마이크로,금강고려화학,0
슈슈 드보,슈슈 : Chou CHou,0
KOPE,KOPEC,0
라미르 : LaMir,LA MER RADIANT WATERS,0
COFFEE CABANA,카보나 : Cabona,0
S ON AIR,On Air,0
왜 안돼? : Why not?,KYOWON WHYnot,0
라미르 : LaMir,LA MER OXYGENATING WATERS,0
다빈치파이어 For KAKAO,FIRE,0
다빈치파이어 For KAKAO,FIRE,0
다빈치파이어 For KAKAO,KAKAO TALK,0
leghila,레길라,0
HANA VIP,Hanafree,0
HANA VIP,Hanahoneymoon,0
HANA VIP,하나크루즈,0
HANA VIP,하나허니문,0
HANA VIP,하나팩,0
HANA VIP,Hanacruise,0
HANA VIP,하나프리,0
HANA VIP,Hanagolf,0
HANA VIP,하나골프,0
HANA VIP,Hanapack,0
케이티이엔지,KT&G,0
HANA VIP,하나투어 볼런투어 : HNT,0
HANA VIP,Hanafly,0
HANA VIP,하나플라이,0
케이티이엔지,KT&G,0
J&R,주식회사 제이엔알쓰리디 : JNR3D,0
X-LITE,XLITE LEGEND-IST,0
M MERLION PINK,TEAM PINK86,0
스마트오더 : NFC,SMARTORDER,0
참뜨레,참드레 : So fresh,0
스마트오더 : NFC,SMARTORDER,0
스마트오더 : NFC,BC SMARTORDER,0
스마트오더 : NFC,스마트오더 : BC,0
스마트오더 : NFC,스마트오더,0
슈슈 드보,Lily chou chou,0
스마트오더 : NFC,스마트오더 : BC,0
스마트카페 : NFC,SmartCafe24,0
슈슈 드보,CHOUCHOU BOX,0
S ON AIR,온에어 : ON AIR,0
왜 안돼? : Why not?,KYOWON WHYnot,0
스마트카페 : NFC,스마트카페24,0
통큰세제,롯데 통큰,0
NEUROGENESIS HAPPY WATER,HP Our Happy Water,0
통큰세제,통큰,0
통큰세제,롯데마트 통큰,0
이지밀토로미 : Easy Meal Toromi,토로미퍼펙트,0
퀀텀 솔루션스,이종두 양자에너지 : Quantum Energy Jong Doo Lee,0
라미르 : LaMir,LA MER,0
라미르 : LaMir,라 메르 : LA MER,0
퀀텀 솔루션스,양자에너지 : Quantum Energy,0
라미르 : LaMir,BAUME DE LA MER,0
라미르 : LaMir,라 메르 : LA MER,0
라미르 : LaMir,CREME DE LA MER,0
Safe-Keeper,AIROU,1
castic,i:ru,1
말표 은하수 태화고무,아이루,1
power sports & fitness,i:ru,1
아남특수시계,아이루,1
아남특수시계,AIROU,1
ABISSINICA oh my cafe,iROO,1
ABISSINICA oh my cafe,AIROU,1
모두락 모두락,PRIVE the party house,1
Mango,ONEUL,1
MOANA,ONEUL,1
감성카페 피우다,ONEL,1
북막골,ONEUL,1
감성카페 피우다,화선,1
취업플래너,화선,1
취업플래너,케이팝 : K-POP,1
취업플래너,MARGIE,1
취업플래너,MARGGIE,1
DARA,마지,1
ATOPOS,어울림,1
푸드스쿨 : FOOD SCHOOL,FJALLRAVEN KANKEN,1
VURB,Kanken,1
일원,Fjallraven Numbers,1
HEAD,I LOVE MY KANKEN,1
LUNA THE COFFEE,피엘라벤,1
공차 : Tea Blender Gong cha,돌하르빵,1
DARA by lee geon maan,파레토 : Pareto,1
루디아 헤어,TORNADO,1
루디아 헤어,ESGEN,1
루디아 헤어,ESGEN,1
BURETT,삼일꽃게,1
BURETT,RETI.C,1
알러가드 : ALLERGUARD,돌하루빵,1
게스트 일식 : Guest Japanese Food,장수,1
성형전문상담 플랫폼 닥터후 : Doctor Who?,장수 : JS,1
DARA by lee geon maan,장수 : JS,1
에버스카이,MSTYLE,1
에버스카이,장수,1
공구프린스,사랑 : LOVE,1
MOANA,러브 : LOVE,1
DOGMA,LOVE,1
Ecole des PETITS,러브러브 Cafe twist,1
듀얼어퍼처,러브러브 Berry twist,1
비너스바인 : venus vine,love,1
비너스바인 : venus vine,문화나눔 문화예술이 키우는 아이들의 미래,1
비너스바인 : venus vine,TOTO,1
DOGMA,K-TOTO,1
Ecole des PETITS,TOTO,1
비너스바인 : venus vine,Soccer Boy TOTO,1
신상 신상,NANO SILVER,1
비너스바인 : venus vine,ANSWER,1
케이티이 : KTE Korea Top Engineering,HMC투자증권,1
GYOZA BAR ORA delicious gyoza table gyoza beer & drink,HMC증권,1
다윈헬스케어 : DAWYN,O&L,1
다윈헬스케어 : DAWYN,O&L,1
네네쌈닭,O&L Brow & Highlighter,1
다윈헬스케어 : DAWYN,O&L BROW DESIGNING,1
GYOZA BAR ORA delicious gyoza table gyoza beer & drink,O&L EYE SCULPTING,1
케이티이 : KTE Korea Top Engineering,O&L CHEEK DESIGNER,1
네네쌈닭,O&L Featuring,1
마쵸스 : M,HEXA BY KUHO,1
따뜻한 술집 하츠 소주 사케바,HEXA Finest,1
감성카페 피우다,HEXA ORGANIC,1
SALTREE,G hOLIC,1
LATH,hoLics,1
LATH,G hOLIC,1
우주 스킨사이언스 : OOZOO SKIN SCIENCE,hoLics,1
우주 스킨사이언스 : OOZOO SKIN SCIENCE,아인스,1
클라우드코리아 전자담배 : CLOUD korea,아인스,1
우주 스킨사이언스 : OOZOO SKIN SCIENCE,iroo,1
별이 빛나는 밤에,YEJOOK YJ,1
HOTEL FORET,와이제이킨더랜드,1
ESS,와이제이 검정고시,1
AirClara,프리비 : FREEBE,1
ATOPOS,와이제이,1
ATOPOS,YJ,1
JELAXY,FREEV,1
푸드스쿨 : FOOD SCHOOL,프리브이,1
Winey,타박실린,1
감포중매인참가자미횟집,갤럭시 : GALAXY,1
푸드스쿨 : FOOD SCHOOL,갤럭시 : GALAXY,1
K-Live Station,ASTOMIN,1
싱크LED라이트,ESTOMIN,1
urban,후이즈 오피스웨어,1
푸드스쿨 : FOOD SCHOOL,WHOIS Office Ware,1
푸드스쿨 : FOOD SCHOOL,후이즈ERP,1
INTRO,후이즈 오피스웨어,1
하늘바다 그리기,WHOIS Office Ware,1
ALLSEEN,후이즈ERP,1
VURB,후이즈 : WHoISdesk,1
일원,whoisdesk,1
맘메이드 : mammade,후이즈데스크,1
LUNA THE COFFEE,후이즈 : WHoISdesk,1
LUNA THE COFFEE,whoisdesk,1
공차 : Tea Blender Gong cha,후이즈데스크,1
FOLLOW ME! IPPNGIRL,블라섬 : BLOSSOMS,1
울트라인 : ULTLINE,스프링 블라썸 : Spring Blossom,1
초록들,Floral Blossom,1
마카롱 쵸코 : macaron lens MACARON CHOCO,ORANGE BLOSSOM,1
BURETT,에이콘 에이콘출판사,1
BURETT,COZY COTTON BLOSSOM,1
elux,Coreana magicblossom,1
elux,BERRYBLOSSOM WHITE,1
돈 엄마돼지 : 88한 3겹살 MOM,GLOSSYBLOSSOM,1
stem,Frosted Blossom,1
프룻티어 : Fruiteer,블라섬 터치 : BLOSSOM TOUCH,1
알러가드 : ALLERGUARD,Sun Blossom,1
센추리,EcoPlant,1
센추리,"eco Life's good, when it's green.",1
HNC HAAS & CIE,스킨 블라썸 : SKIN BLOSSOM,1
게스트 일식 : Guest Japanese Food,아라메 : ARAME,1
성형전문상담 플랫폼 닥터후 : Doctor Who?,미인수 미인수,1
반전오일폼,지스마트 : G,1
반전오일폼,화성,1
매일 포차 : Maeil Pocha,화승 화승,1
도레미 : Do Re Mi,주식회사 화승,1
브런치,HWASEUNG,1
브런치,HOBBS,1
CHAMI,HOBBS,1
송이향송화버섯,와라 와라,1
스킨노블,수작요리주애 : W WARAWARA,1
송이향송화버섯,WARA WARA,1
Brunch,어울림,1
YOUSHOP,B BODYMAKER,1
큰손 부대찌개 칼국수 : BIGHAND SINCE1993,FJ'A'LLR'A'VEN,1
큰손 부대찌개 칼국수 : BIGHAND SINCE1993,칸켄,1
큰손 부대찌개 칼국수 : BIGHAND SINCE1993,칸켄,1
큰손 부대찌개 칼국수 : BIGHAND SINCE1993,동원 두두 두두,1
알타이 키트,레인보우,1
AEGiS TKC GLOBAL TECHNOLOGY,RAINBOW,1
KIT 차가버섯,레인보우,1
샤오미,RAINBOW,1
샤오미,베아뜨리체 : beatrice,1